"outcome","account","r2_holdout","beta","seed"
"jobTraining","logit",0.0500494308570997,NA,33
"jobTraining","ols",0.0556600704288296,NA,33
"layoff","logit",0.0106814691564705,NA,33
"layoff","ols",0.000836383578714961,NA,33
"materialHardship","logit",NA,NA,33
"materialHardship","ols",0.177979019911758,"0.345376047331609",33
"eviction","logit",0.0138675292698583,NA,34
"eviction","ols",0.0192522205064894,NA,34
"gpa","logit",NA,NA,34
"gpa","ols",0.110160929421537,"0.194168615391548",34
"grit","logit",NA,NA,34
"grit","ols",0.0161951907727943,"0.0174211170442848",34
"jobTraining","logit",0.0492306481633592,NA,34
"jobTraining","ols",0.056399531853756,NA,34
"layoff","logit",0.00840269699387164,NA,34
"layoff","ols",0.00265600492586315,NA,34
"materialHardship","logit",NA,NA,34
"materialHardship","ols",0.187285106535812,"0.355751776896367",34
"eviction","logit",0.0143015097023822,NA,35
"eviction","ols",0.0174545101061805,NA,35
"gpa","logit",NA,NA,35
"gpa","ols",0.113916761057166,"0.180014468820564",35
"grit","logit",NA,NA,35
"grit","ols",0.0134626006085712,"0.0579906108796104",35
"jobTraining","logit",0.0500052801597443,NA,35
"jobTraining","ols",0.0480431962104163,NA,35
"layoff","logit",0.00819567998277848,NA,35
"layoff","ols",0.0085204265944161,NA,35
"materialHardship","logit",NA,NA,35
"materialHardship","ols",0.182594575432922,"0.394996145105489",35
"eviction","logit",0.0142619300532761,NA,36
"eviction","ols",0.022448454367234,NA,36
"gpa","logit",NA,NA,36
"gpa","ols",0.123746373570885,"0.205717235512091",36
"grit","logit",NA,NA,36
"grit","ols",0.0120373613432815,"0.00435130597441348",36
"jobTraining","logit",0.049379386952405,NA,36
"jobTraining","ols",0.0482864598101009,NA,36
"layoff","logit",0.00785374702983033,NA,36
"layoff","ols",0.00675474788637476,NA,36
"materialHardship","logit",NA,NA,36
"materialHardship","ols",0.162353360880066,"0.396038070819827",36
"eviction","logit",0.0146074535546086,NA,37
"eviction","ols",0.0179666850072684,NA,37
"gpa","logit",NA,NA,37
"gpa","ols",0.0972849670838976,"0.200413837631654",37
"grit","logit",NA,NA,37
"grit","ols",0.0130892959913713,"0.0438205356835737",37
"jobTraining","logit",0.0474226504054683,NA,37
"jobTraining","ols",0.0511573921280414,NA,37
"layoff","logit",0.00834555400177939,NA,37
"layoff","ols",0.00513863794837999,NA,37
"materialHardship","logit",NA,NA,37
"materialHardship","ols",0.183310799585706,"0.389723629256964",37
"eviction","logit",0.0143466264429349,NA,38
"eviction","ols",0.0240897433211638,NA,38
"gpa","logit",NA,NA,38
"gpa","ols",0.110487634486375,"0.178344177522401",38
"grit","logit",NA,NA,38
"grit","ols",0.0155554196313488,"0.0393762122833664",38
"jobTraining","logit",0.0482222437991218,NA,38
"jobTraining","ols",0.0467697667006177,NA,38
"layoff","logit",0.00657638434054186,NA,38
"layoff","ols",0.0101304810997326,NA,38
"materialHardship","logit",NA,NA,38
"materialHardship","ols",0.170748675226325,"0.335741920025194",38
"eviction","logit",0.0141392011036,NA,39
"eviction","ols",0.0149001550542809,NA,39
"gpa","logit",NA,NA,39
"gpa","ols",0.116078920806328,"0.193460466577618",39
"grit","logit",NA,NA,39
"grit","ols",0.0107186394522304,"0.0162225770360722",39
"jobTraining","logit",0.0488971949383514,NA,39
"jobTraining","ols",0.051621991519032,NA,39
"layoff","logit",0.0066381197130525,NA,39
"layoff","ols",-0.00176161765745597,NA,39
"materialHardship","logit",NA,NA,39
"materialHardship","ols",0.170320619556784,"0.361203309240133",39
"eviction","logit",0.0143125140848239,NA,40
"eviction","ols",0.023279598870974,NA,40
"gpa","logit",NA,NA,40
"gpa","ols",0.121850349627049,"0.191629115109261",40
"grit","logit",NA,NA,40
"grit","ols",0.0123524300448165,"0.00891588177880143",40
"jobTraining","logit",0.049298586325555,NA,40
"jobTraining","ols",0.0540001995057054,NA,40
"layoff","logit",0.00842881824209318,NA,40
"layoff","ols",0.00470960310028956,NA,40
"materialHardship","logit",NA,NA,40
"materialHardship","ols",0.176028042764083,"0.387196380895765",40
"eviction","logit",0.0142474512361616,NA,41
"eviction","ols",0.018233155346124,NA,41
"gpa","logit",NA,NA,41
"gpa","ols",0.114810177802422,"0.17634910353231",41
"grit","logit",NA,NA,41
"grit","ols",0.015243500081659,"0.0135675574489512",41
"jobTraining","logit",0.0500359696259531,NA,41
"jobTraining","ols",0.0542655910722067,NA,41
"layoff","logit",0.0090257058383133,NA,41
"layoff","ols",0.00844315417076735,NA,41
"materialHardship","logit",NA,NA,41
"materialHardship","ols",0.17624436345764,"0.387527060282527",41
"eviction","logit",0.0143172012771778,NA,42
"eviction","ols",0.0226757755324105,NA,42
"gpa","logit",NA,NA,42
"gpa","ols",0.111719548229527,"0.23518073810865",42
"grit","logit",NA,NA,42
"grit","ols",0.0181361549522026,"0.0531595843892377",42
"jobTraining","logit",0.0488585787828145,NA,42
"jobTraining","ols",0.0528125738639688,NA,42
"layoff","logit",0.00631469911570082,NA,42
"layoff","ols",0.0105232574725869,NA,42
"materialHardship","logit",NA,NA,42
"materialHardship","ols",0.179231919303147,"0.346064590085746",42
"eviction","logit",0.0142457822226212,NA,43
"eviction","ols",0.0247832741787024,NA,43
"gpa","logit",NA,NA,43
"gpa","ols",0.116748794645928,"0.203979063439695",43
"grit","logit",NA,NA,43
"grit","ols",0.00533346127495693,"0.022493275433298",43
"jobTraining","logit",0.0492641700524223,NA,43
"jobTraining","ols",0.0453309630401857,NA,43
"layoff","logit",0.00767756668894348,NA,43
"layoff","ols",0.00949673936982998,NA,43
"materialHardship","logit",NA,NA,43
"materialHardship","ols",0.177833662490036,"0.385650553906766",43
"eviction","logit",0.0135607837477116,NA,44
"eviction","ols",0.0200061671123147,NA,44
"gpa","logit",NA,NA,44
"gpa","ols",0.104403086885364,"0.196336169477436",44
"grit","logit",NA,NA,44
"grit","ols",0.00863745471299349,"0.0427456096702995",44
"jobTraining","logit",0.0492423237700144,NA,44
"jobTraining","ols",0.0467836066856164,NA,44
"layoff","logit",0.00842386860818034,NA,44
"layoff","ols",0.00531824164827333,NA,44
"materialHardship","logit",NA,NA,44
"materialHardship","ols",0.181101694840662,"0.345484769625431",44
"eviction","logit",0.013795447305054,NA,45
"eviction","ols",0.0206479969361957,NA,45
"gpa","logit",NA,NA,45
