outcome,account,r2_holdout,beta,seed
jobTraining,ols,0.048396783902674434,NA,29
layoff,logit,NA,NA,29
layoff,ols,0.009380324695482445,NA,29
materialHardship,logit,NA,NA,29
materialHardship,ols,0.18310069928400463,0.419916030056362,29
eviction,logit,NA,NA,30
eviction,ols,0.023636543004726507,NA,30
gpa,logit,NA,NA,30
gpa,ols,0.09503727983601229,0.20634082538924,30
grit,logit,NA,NA,30
grit,ols,0.015171194312554537,0.0292583128338277,30
jobTraining,logit,NA,NA,30
jobTraining,ols,0.04931264872243202,NA,30
layoff,logit,NA,NA,30
layoff,ols,0.007291841279205458,NA,30
materialHardship,logit,NA,NA,30
materialHardship,ols,0.17919982860912398,0.339331846431209,30
eviction,logit,NA,NA,31
eviction,ols,0.008586335182114935,NA,31
gpa,logit,NA,NA,31
gpa,ols,0.08833401783856687,0.202885754444796,31
grit,logit,NA,NA,31
grit,ols,0.01371365116607437,0.0467364420138127,31
jobTraining,logit,NA,NA,31
jobTraining,ols,0.0521772969317863,NA,31
layoff,logit,NA,NA,31
layoff,ols,2.2244908836754895e-4,NA,31
materialHardship,logit,NA,NA,31
materialHardship,ols,0.17455395792609008,0.371374832619906,31
eviction,logit,NA,NA,32
eviction,ols,0.020302839343918855,NA,32
gpa,logit,NA,NA,32
gpa,ols,0.09265766001641562,0.232357826819356,32
grit,logit,NA,NA,32
grit,ols,0.01331100116258177,0.0357563926839446,32
jobTraining,logit,NA,NA,32
jobTraining,ols,0.04104322474634947,NA,32
layoff,logit,NA,NA,32
layoff,ols,0.002263836726468016,NA,32
materialHardship,logit,NA,NA,32
materialHardship,ols,0.17822838961196574,0.363107765007671,32
eviction,logit,NA,NA,33
eviction,ols,2.6194997126161024e-4,NA,33
gpa,logit,NA,NA,33
gpa,ols,0.12293769153938139,0.201734845618783,33
grit,logit,NA,NA,33
grit,ols,0.012161520937455927,0.0435800826530284,33
jobTraining,logit,NA,NA,33
jobTraining,ols,0.05566007042882959,NA,33
layoff,logit,NA,NA,33
layoff,ols,8.363835787149609e-4,NA,33
materialHardship,logit,NA,NA,33
materialHardship,ols,0.17797901991175757,0.345376047331609,33
eviction,logit,NA,NA,34
eviction,ols,0.019252220506489448,NA,34
gpa,logit,NA,NA,34
gpa,ols,0.11016092942153677,0.194168615391548,34
grit,logit,NA,NA,34
grit,ols,0.0161951907727943,0.0174211170442848,34
jobTraining,logit,NA,NA,34
jobTraining,ols,0.05639953185375601,NA,34
layoff,logit,NA,NA,34
layoff,ols,0.0026560049258631535,NA,34
materialHardship,logit,NA,NA,34
materialHardship,ols,0.1872851065358121,0.355751776896367,34
eviction,logit,NA,NA,35
eviction,ols,0.017454510106180487,NA,35
gpa,logit,NA,NA,35
gpa,ols,0.1139167610571663,0.180014468820564,35
grit,logit,NA,NA,35
grit,ols,0.013462600608571185,0.0579906108796104,35
jobTraining,logit,NA,NA,35
jobTraining,ols,0.048043196210416306,NA,35
layoff,logit,NA,NA,35
layoff,ols,0.008520426594416097,NA,35
materialHardship,logit,NA,NA,35
materialHardship,ols,0.18259457543292168,0.394996145105489,35
eviction,logit,NA,NA,36
